"CPC V10","CPCpartial","ISIC Rev3","ISICpartial","Comment"
"31912",0,"2029",1,
"31913",0,"2029",1,
"31914",0,"2029",1,
"31921",0,"2029",1,
"31922",0,"2029",1,
"31923",0,"2029",1,
"32111",0,"2101",1,
"32112",0,"2101",1,
"32113",0,"2101",1,
"32121",0,"2101",1,
"32122",0,"2101",1,
"32129",0,"2101",1,
"32131",0,"2101",1,
"32132",0,"2101",1,
"32133",0,"2101",1,
"32134",0,"2101",1,
"32135",0,"2101",1,
"32136",0,"2101",1,
"32137",0,"2101",1,
"32141",0,"2101",1,
"32142",0,"2101",1,
"32143",0,"2101",1,
"32149",0,"2101",1,
"32151",0,"2102",1,
"32152",0,"2102",1,
"32153",0,"2102",1,
"32191",0,"2109",1,
"32192",0,"2109",1,
"32193",0,"2109",1,
"32194",0,"2109",1,
"32195",0,"2109",1,
"32196",0,"2109",1,
"32197",0,"2109",1,
"32198",0,"2109",1,
"32199",0,"2109",1,
"32210",0,"2211",1,
"32220",0,"2211",1,
"32230",0,"2211",1,
"32240",0,"2211",1,
"32250",0,"2211",1,
"32260",0,"2211",1,
"32300",0,"2212",1,
"32400",0,"2212",1,
"32510",0,"2219",1,
"32520",0,"2219",1,
"32530",0,"2221",1,
"32540",0,"2219",1,
"32550",0,"7421",1,
"32560",0,"2219",1,
"32590",0,"2221",1,
"32600",0,"2221",1,
"32700",0,"2222",1,
"33100",0,"2310",1,
"33200",0,"2310",1,
"33310",0,"2320",1,
"33320",0,"2320",1,
"33330",0,"2320",1,
"33340",0,"2320",1,
"33350",0,"2320",1,
"33360",0,"2320",1,
"33370",0,"2320",1,
"33380",0,"2320",1,
"33410",0,"2320",1,
"33420",0,"2320",1,
"33500",0,"2320",1,
"33610",0,"2330",1,
"33620",0,"2330",1,
"33630",0,"2330",1,
"33690",0,"2330",1,
"33710",0,"2330",1,
"33720",0,"4010",1,
"34110",0,"2411",1,
"34120",0,"2411",1,
"34130",0,"2411",1,
"34140",0,"2411",1,
"34150",0,"2411",1,
"34160",0,"2411",1,
"34170",0,"2411",1,
"34180",0,"2411",1,
"34210",0,"2411",1,
"34220",0,"2411",1,
"34230",0,"2411",1,
"34240",1,"2411",1,
"34240",1,"2412",1,
"34250",0,"2411",1,
